Model Name,Base Architecture,Use Case,Pretrained Dataset,Fine-tuning Dataset,Framework,Parameters,Training Time
BERT,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",110M,1-2 weeks
GPT-3,Transformer,NLP,"Common Crawl, WebText, Books1, Books2, Wikipedia",Custom Text Data,OpenAI API,175B,3-6 months
ResNet-50,ResNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",25.6M,1-2 weeks
EfficientNet,EfficientNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",5.3M,1-2 weeks
RoBERTa,Transformer,NLP,Common Crawl,Custom Text Data,"PyTorch, TensorFlow",125M,1-2 weeks
YOLOv5,YOLO,Object Detection,COCO,Custom Images,PyTorch,7.0M,2-3 weeks
MobileNetV2,MobileNet,Image Classification,ImageNet,Custom Images,TensorFlow,3.4M,1-2 weeks
T5,Transformer,NLP,C4,Custom Text Data,TensorFlow,220M,1-2 weeks
UNet,UNet,Image Segmentation,Various Medical Datasets,Custom Images,"PyTorch, TensorFlow",31M,2-3 weeks
AlexNet,CNN,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",60M,1-2 weeks
InceptionV3,Inception,Image Classification,ImageNet,Custom Images,TensorFlow,23.9M,1-2 weeks
DistilBERT,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",66M,1-2 weeks
VGG16,VGG,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",138M,1-2 weeks
GPT-2,Transformer,NLP,WebText,Custom Text Data,"PyTorch, TensorFlow",1.5B,1-2 months
XLM-R,Transformer,NLP,Common Crawl,Custom Text Data,"PyTorch, TensorFlow",270M,1-2 weeks
CycleGAN,GAN,Image-to-Image Translation,Various Image Datasets,Custom Images,"PyTorch, TensorFlow",54M,2-3 weeks
BART,Transformer,NLP,Common Crawl,Custom Text Data,"PyTorch, TensorFlow",140M,1-2 weeks
Swin Transformer,Transformer,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",87.8M,1-2 weeks
BigGAN,GAN,Image Generation,ImageNet,Custom Images,TensorFlow,102M,1-2 months
XLNet,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",340M,1-2 weeks
ResNeXt,ResNeXt,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",68.1M,1-2 weeks
OpenAI CLIP,Transformer,Zero-shot Learning,Various Internet Datasets,Custom Text and Images,PyTorch,63M,1-2 weeks
DeepLabV3,CNN,Image Segmentation,COCO,Custom Images,"PyTorch, TensorFlow",40.5M,2-3 weeks
Fast R-CNN,CNN,Object Detection,COCO,Custom Images,"PyTorch, TensorFlow",134M,2-3 weeks
Transformer-XL,Transformer,NLP,WikiText-103,Custom Text Data,PyTorch,257M,1-2 weeks
StyleGAN2,GAN,Image Generation,FFHQ,Custom Images,TensorFlow,30M,1-2 months
Deeplabv3+,CNN,Image Segmentation,COCO,Custom Images,"PyTorch, TensorFlow",41M,2-3 weeks
Pix2Pix,Conditional GAN,Image-to-Image Translation,Various Image Datasets,Custom Images,TensorFlow,54M,2-3 weeks
BERTweet,Transformer,NLP,Twitter Dataset,Custom Text Data,"PyTorch, TensorFlow",110M,1-2 weeks
EfficientDet,EfficientDet,Object Detection,COCO,Custom Images,TensorFlow,5.1M,2-3 weeks
NASNet,NASNet,Image Classification,ImageNet,Custom Images,TensorFlow,88.9M,1-2 weeks
ViT,Transformer,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",86M,1-2 weeks
DCGAN,GAN,Image Generation,Various Image Datasets,Custom Images,"PyTorch, TensorFlow",6.6M,1-2 weeks
ALBERT,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",12M,1-2 weeks
Turing-NLG,Transformer,NLP,Various Internet Datasets,Custom Text Data,Azure ML,17B,2-3 months
SE-ResNet,ResNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",28M,1-2 weeks
Faster R-CNN,CNN,Object Detection,COCO,Custom Images,"PyTorch, TensorFlow",62.3M,2-3 weeks
Electra,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",14M,1-2 weeks
DenseNet,DenseNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",8M,1-2 weeks
GPT-Neo,Transformer,NLP,Pile,Custom Text Data,"PyTorch, TensorFlow",2.7B,1-2 months
ResNet101,ResNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",44.5M,1-2 weeks
SqueezeNet,CNN,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",1.25M,1-2 weeks
Speech2Text,Transformer,Speech Recognition,LibriSpeech,Custom Audio Data,"PyTorch, TensorFlow",10M,1-2 weeks
Xception,Xception,Image Classification,ImageNet,Custom Images,TensorFlow,22.9M,1-2 weeks
BERT Large,Transformer,NLP,"BooksCorpus, English Wikipedia",Custom Text Data,"PyTorch, TensorFlow",340M,1-2 weeks
RoBERTa Large,Transformer,NLP,Common Crawl,Custom Text Data,"PyTorch, TensorFlow",355M,1-2 weeks
Wide ResNet,Wide ResNet,Image Classification,ImageNet,Custom Images,"PyTorch, TensorFlow",36.5M,1-2 weeks
T5 Large,Transformer,NLP,C4,Custom Text Data,TensorFlow,770M,1-2 weeks
